SAMPID,XPT,YPT,ZPT,Thickness (cm),Pt (g/t),Ni (%),Cu (%)
1009,9429.1029,-4105.58568,0,130,5.325538462,0.1103,0.0528
1042,9437.71,-4066.44612,0,130,5.415769231,0.1103,0.0528
1299,9511.7467,-3880.91892,0,120,4.657958333,0.13985,0.053
987,9423.62465,-4038.3668,0,126,11.62969048,0.14863,0.05311
763,9332.5871,-3978.35428,0,130,11.18307692,0.1516,0.0533
794,9346.22705,-3961.1696,0,130,12.08884615,0.1516,0.0533
1272,9504.75545,-3794.32944,0,130,6.853076923,0.15195,0.05335
888,9385.35,-3651.24,0,130,6.394615385,0.1592,0.05345
965,9418.09285,-4032.35092,0,127,5.487968504,0.14976,0.05347
699,9303.67775,-4137.52624,0,133,6.646315789,0.16364,0.05348
780,9338.97655,-4009.97744,0,125,5.8292,0.14845,0.05365
1279,9506.00155,-3859.0588,0,136,6.092797794,0.118815,0.053685
1217,9489.05,-3736.8,0,120,4.596666667,0.1574,0.0537
773,9336.05,-3895.96,0,120,7.94,0.1574,0.0537
1169,9478.51595,-3990.08704,0,134,10.52223881,0.16482,0.05384
627,9152.45,-4053.28,0,120,2.386666667,0.091,0.054
1291,9509.69225,-3801.45484,0,126,12.83551587,0.14994,0.05422
771,9335.40995,-3981.16304,0,120,6.725625,0.1427,0.0543
928,9406.4878,-3933.33684,0,130,6.971153846,0.15525,0.0543
1253,9499.92065,-3934.78492,0,130,8.093076923,0.15525,0.0543
826,9359.29155,-4011.75028,0,119,6.940546218,0.15969,0.05438
952,9414.2993,-3922.26004,0,130,5.143846154,0.1555,0.05445
1083,9450.60535,-3894.67568,0,130,5.211538462,0.1555,0.05445
779,9338.9128,-4054.67748,0,130,6.099230769,0.1555,0.05445
797,9346.61295,-4064.51504,0,130,6.323846154,0.1555,0.05445
1089,9452.6445,-4151.20664,0,108,4.479138889,0.13348,0.05461
764,9332.6874,-4004.33232,0,134,8.034462687,0.15592,0.05462
1250,9499.1803,-3825.948,0,134,2.851380597,0.15627,0.05467
781,9339.45,-3721.16,0,122,6.739754098,0.15236,0.05494
630,9166.05,-4068,0,110,6.16,0.094,0.055
437,8730,-3342.12,0,100,3.222,0.102,0.055
1053,9440.87285,-4065.608,0,135,7.476851852,0.15735,0.055
322,8553.2,-3956.68,0,99,17.34157576,0.12787,0.055045
232,8433.35,-4071.68,0,130,11.46711538,0.15675,0.05505
932,9408.3,-3491.16,0,128,11.63834375,0.1599,0.05512
632,9194.95,-3792,0,41,6.403902439,0.0868,0.05515
923,9403.8222,-4081.34828,0,138,3.223543478,0.16954,0.05528
1268,9504.35,-3752.44,0,114,8.823377193,0.15303,0.0553
343,8590.6,-4135.16,0,120,6.733333333,0.1577,0.0554
1011,9429.55,-3808.56,0,130,5.183846154,0.1568,0.0557
1111,9460.949,-3981.25688,0,130,8.946153846,0.1579,0.0557
667,9273.15,-3926.32,0,117,7.080235043,0.15271,0.05573
1252,9499.41575,-3813.61264,0,138,8.227717391,0.16059,0.05599
328,8559.15,-3302.56,0,60,8.72,0.184,0.056
1222,9489.9,-3482.88,0,113,8.489035398,0.15264,0.05608
1257,9500.67035,-3851.6528,0,138,5.489681159,0.16079,0.05614
257,8458,-4072.6,0,136,9.090794118,0.16202,0.05672
341,8589.75,-4156.32,0,134,4.879223881,0.16141,0.05695
279,8486.9,-4098.36,0,105,0.043095238,0.094825,0.056975
495,8773.35,-3300.72,0,85,4.120588235,0.09775,0.057
756,9330.1,-3750.6,0,125,7.82168,0.129,0.057
244,8450.35,-3552.8,0,70,6.598571429,0.164,0.057
1025,9433.31805,-3804.67484,0,134,7.190171642,0.16128,0.0571
703,9305.45,-3999,0,116,7.923922414,0.15648,0.05731
491,8769.559,-3906.11128,0,99,6.095616162,0.166655,0.05765
506,8793.75,-3766.24,0,105,15.28390476,0.13925,0.057725
1063,9444.0731,-3967.61696,0,130,4.617615385,0.1655,0.058
1026,9433.61895,-3893.47324,0,130,5.158461538,0.1655,0.058
1219,9489.69855,-4067.6366,0,130,6.707615385,0.1655,0.058
857,9371.2587,-3942.7374,0,130,6.708461538,0.1655,0.058
979,9421.8745,-3957.71132,0,130,7.469230769,0.1655,0.058
1086,9451.5106,-3913.44644,0,130,7.828461538,0.1655,0.058
1104,9456.95825,-3950.10384,0,130,8.435384615,0.1655,0.058
1072,9446.3545,-3920.202,0,130,8.600692308,0.1655,0.058
900,9393.79645,-3933.54292,0,130,9.053846154,0.1655,0.058
1184,9481.859,-3954.53088,0,130,9.628846154,0.1655,0.058
891,9386.6794,-3961.98656,0,130,10.09153846,0.1655,0.058
1175,9479.12625,-3904.79844,0,130,10.14171538,0.1655,0.058
843,9367.5918,-4020.65956,0,130,10.50076923,0.1655,0.058
1006,9428.3651,-3921.33912,0,130,10.61,0.1655,0.058
